parent,variant_smiles,mw,logp,hbd,hba,tpsa,qed,topical_score
EGCG,COC(=O)c1cc(C2COc3cc(O)ccc3C2)ccc1O,300.31,2.6031000000000017,2,5,75.99000000000001,0.833767769304711,0.7650344359713764
Embelin,COC(=O)c1cc(C2COc3cc(O)ccc3C2)ccc1O,300.31,2.6031000000000017,2,5,75.99000000000001,0.833767769304711,0.7650344359713764
Curcumin,COC(=O)c1cc(C2COc3cc(O)ccc3C2)ccc1O,300.31,2.6031000000000017,2,5,75.99000000000001,0.833767769304711,0.7650344359713764
EMB-3,COC(=O)c1cc(C2COc3cc(O)ccc3C2)ccc1O,300.31,2.6031000000000017,2,5,75.99000000000001,0.833767769304711,0.7650344359713764
Asiaticoside,COC(=O)c1cc(C2COc3cc(O)ccc3C2)ccc1O,300.31,2.6031000000000017,2,5,75.99000000000001,0.833767769304711,0.7650344359713764
EMB-3,C=CC(C)(C)C1Oc2cc(O)cc(O)c2CC1OC,264.321,2.6285000000000007,2,4,58.92,0.823919570965561,0.7382529042988939
EGCG,C=CC(C)(C)C1Oc2cc(O)cc(O)c2CC1OC,264.321,2.6285000000000007,2,4,58.92,0.823919570965561,0.7382529042988939
Glabridin,C=CC(C)(C)C1Oc2cc(O)cc(O)c2CC1OC,264.321,2.6285000000000007,2,4,58.92,0.823919570965561,0.7382529042988939
Curcumin,C=CC(C)(C)C1Oc2cc(O)cc(O)c2CC1OC,264.321,2.6285000000000007,2,4,58.92,0.823919570965561,0.7382529042988939
Embelin,C=CC(C)(C)C1Oc2cc(O)cc(O)c2CC1OC,264.321,2.6285000000000007,2,4,58.92,0.823919570965561,0.7382529042988939
Asiaticoside,C=CC(C)(C)C1Oc2cc(O)cc(O)c2CC1OC,264.321,2.6285000000000007,2,4,58.92,0.823919570965561,0.7382529042988939
Asiaticoside,COc1cc(-c2ccc(OC)c(O)c2O)ccc1O,262.261,2.487600000000002,3,5,79.15,0.7404854724188736,0.7322188057522082
Embelin,COc1cc(-c2ccc(OC)c(O)c2O)ccc1O,262.261,2.487600000000002,3,5,79.15,0.7404854724188736,0.7322188057522082
EMB-3,COc1cc(-c2ccc(OC)c(O)c2O)ccc1O,262.261,2.487600000000002,3,5,79.15,0.7404854724188736,0.7322188057522082
EGCG,COc1cc(-c2ccc(OC)c(O)c2O)ccc1O,262.261,2.487600000000002,3,5,79.15,0.7404854724188736,0.7322188057522082
Curcumin,COc1cc(-c2ccc(OC)c(O)c2O)ccc1O,262.261,2.487600000000002,3,5,79.15,0.7404854724188736,0.7322188057522082
Glabridin,COc1cc(-c2ccc(OC)c(O)c2O)ccc1O,262.261,2.487600000000002,3,5,79.15,0.7404854724188736,0.7322188057522082
Curcumin,COc1ccc(O)c(-c2ccc(OC)c(O)c2O)c1,262.261,2.4876000000000014,3,5,79.15,0.7404854724188736,0.7322188057522079
EMB-3,COc1ccc(O)c(-c2ccc(OC)c(O)c2O)c1,262.261,2.4876000000000014,3,5,79.15,0.7404854724188736,0.7322188057522079
