plant,lotus_id,wikidata_id,name,smiles,inchikey,molecular_formula,MW,n_atoms,n_rings,npl_score
Morus alba,LTS0119568,Q105173316,"8-azabicyclo[3.2.1]octane-3,6-diol",OC1CC2CC(O)C(C1)N2,MVUIPZFMWQBRCM-UHFFFAOYSA-N,C7H13NO2,143.1838941394261,10,3,1.0
Morus alba,LTS0105038,Q105170408,"2-[2-(3,7-dimethylocta-2,6-dien-1-yl)-5-hydroxy-3-methoxyphenyl]-1-benzofuran-6-ol",COc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1CC=C(C)CCC=C(C)C,MQYYTNPXQXSQGM-UHFFFAOYSA-N,C25H28O4,392.48835823709965,29,4,1.0
Morus alba,LTS0120242,Q105361703,"(2r,4s)-2-phenyl-3,4-dihydro-2h-1-benzopyran-4-ol",OC1CC(c2ccccc2)Oc2ccccc21,YTMFRMLVZQOBDR-DZGCQCFKSA-N,C15H14O2,226.27101886051983,17,4,1.0
Morus alba,LTS0090180,Q83034043,"(2s,3r,4s,5s,6r)-2-[3-hydroxy-5-(6-hydroxy-1-benzofuran-2-yl)phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",OCC1OC(Oc2cc(O)cc(-c3cc4ccc(O)cc4o3)c2)C(O)C(O)C1O,WWVMDZBSOTYXPY-OUUBHVDSSA-N,C20H20O9,404.3681773604003,29,5,1.0
Morus alba,LTS0120521,Q105213443,"6-hydroxy-7-[(3,4,5-trihydroxy-6-{[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]methyl}oxan-2-yl)oxy]chromen-2-one",CC1OC(OCC2OC(Oc3cc4oc(=O)ccc4cc3O)C(O)C(O)C2O)C(O)C(O)C1O,PQTLOQWHUISKOP-UHFFFAOYSA-N,C21H26O13,486.4241774904206,34,5,1.0
Morus alba,LTS0051274,Q105173314,"(1r,3s,5s,6r)-8-azabicyclo[3.2.1]octane-3,6-diol",OC1CC2CC(O)C(C1)N2,MVUIPZFMWQBRCM-JRTVQGFMSA-N,C7H13NO2,143.1838941394261,10,3,1.0
Morus alba,LTS0183894,Q72484782,5-hydroxy-7-methoxychromen-2-one,COc1cc(O)c2ccc(=O)oc2c1,CPPAWCQANCLZEO-UHFFFAOYSA-N,C10H8O4,192.16850470876392,14,3,1.0
Morus alba,LTS0054186,Q105298905,3-hydroxy-12-[5-(1-hydroxyethyl)pyrrolidin-2-yl]dodecanoic acid,CC(O)C1CCC(CCCCCCCCCC(O)CC(=O)O)N1,VYEFYAVFLNSXSK-UHFFFAOYSA-N,C18H35NO4,329.47549544340023,23,1,1.2621634475166574
Morus alba,LTS0126618,Q104916473,"8-[6-(2,4-dihydroxybenzoyl)-5-(2,4-dihydroxyphenyl)-3-methylcyclohex-2-en-1-yl]-2-(2,4-dihydroxyphenyl)-5,7-dihydroxy-3-(3-methylbut-2-en-1-yl)chromen-4-one",CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c(C3C=C(C)CC(c4ccc(O)cc4O)C3C(=O)c3ccc(O)cc3O)c(O)cc(O)c2c1=O,APPXYONGBIXGRO-UHFFFAOYSA-N,C40H36O11,692.7087572125115,51,7,1.0091887916905649
Morus alba,LTS0147395,Q105188811,"4-[7-methoxy-8-(3-methylbut-2-en-1-yl)-3,4-dihydro-2h-1-benzopyran-2-yl]benzene-1,3-diol",COc1ccc2c(c1CC=C(C)C)OC(c1ccc(O)cc1O)CC2,OAUAVKGFNHNNGR-UHFFFAOYSA-N,C21H24O4,340.4136516346445,25,4,1.0
Morus alba,LTS0271451,Q105138915,"2-{[4-hydroxy-5-(hydroxymethyl)pyrrolidin-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",OCC1NCC(OC2OC(CO)C(O)C(O)C2O)C1O,KCSBPSPWZAGWAF-UHFFFAOYSA-N,C11H21NO8,295.2867933226008,20,2,1.0
Morus alba,LTS0152187,Q105151886,"(1r,10s)-7-[(1s,5s,6r)-6-(2,4-dihydroxybenzoyl)-5-(2,4-dihydroxyphenyl)-3-methylcyclohex-2-en-1-yl]-4,6,10,14-tetrahydroxy-1-(3-methylbut-2-en-1-yl)-9,17-dioxatetracyclo[8.7.0.0³,⁸.0¹¹,¹⁶]heptadeca-3(8),4,6,11,13,15-hexaen-2-one",CC(C)=CCC12Oc3cc(O)ccc3C1(O)Oc1c(c(O)cc(O)c1C1C=C(C)CC(c3ccc(O)cc3O)C1C(=O)c1ccc(O)cc1O)C2=O,LHPRLOAEYJFDCW-BEZTYPAOSA-N,C40H36O12,708.7081621400808,52,13,1.018024168316108
Morus alba,LTS0192387,Q27139052,"(2s,3r,4s,5s,6r)-2-{[(2r,3r,4r,5s)-4,5-dihydroxy-2-(hydroxymethyl)piperidin-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",OCC1NCC(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,GNVIYGFSOIHFHK-NIKVEEOSSA-N,C12H23NO9,325.3128156546098,22,2,1.0
Morus alba,LTS0116191,Q105196538,"(3r)-3-hydroxy-12-[(2r,5r,6s)-5-hydroxy-6-methylpiperidin-2-yl]dodecanoic acid",CC1NC(CCCCCCCCCC(O)CC(=O)O)CCC1O,OPRYWCSVGFCHJA-YLFCFFPRSA-N,C18H35NO4,329.47549544340023,23,1,1.2621634475166574
Morus alba,LTS0139592,Q105307980,"5-{7-[(2e)-3,7-dimethylocta-2,6-dien-1-yl]-4-methoxy-1-benzofuran-2-yl}benzene-1,3-diol",COc1ccc(CC=C(C)CCC=C(C)C)c2oc(-c3cc(O)cc(O)c3)cc12,WLIGMEFLXLMMIP-CAOOACKPSA-N,C25H28O4,392.48835823709965,29,4,1.0
Morus alba,LTS0205021,Q105026698,"(1s,2r,4s,12r,14s)-4-(2,4-dihydroxyphenyl)-8-[(1e)-2-(2,4-dihydroxyphenyl)ethenyl]-10,18-dihydroxy-14-methyl-3,5,15-trioxahexacyclo[12.7.1.0²,⁴.0²,¹².0⁶,¹¹.0¹⁶,²¹]docosa-6,8,10,16,18,20-hexaen-13-one",CC12CC(c3ccc(O)cc3O1)C13OC1(c1ccc(O)cc1O)Oc1cc(C=Cc4ccc(O)cc4O)cc(O)c1C3C2=O,HEAKAXOVOXEHND-SSTMQWDMSA-N,C34H26O10,594.5655293659563,44,25,1.0715381017773227
Morus alba,LTS0141920,Q105267232,"(3r)-12-[(2r,5r,6s)-5-hydroxy-6-methylpiperidin-2-yl]-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}dodecanoic acid",CC1NC(CCCCCCCCCC(CC(=O)O)OC2OC(CO)C(O)C(O)C2O)CCC1O,TYCHJCWFXCTGEJ-JVDSRXGHSA-N,C24H45NO9,491.61634300023303,34,2,1.2621634475166574
Morus alba,LTS0142175,Q105113567,"2-({[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)piperidine-3,4,5-triol",OCC1OC(OCC2NCC(O)C(O)C2O)C(O)C(O)C1O,IIJOGKBFUDNUQI-UHFFFAOYSA-N,C12H23NO9,325.3128156546098,22,2,1.0
Morus alba,LTS0274985,Q105263705,"8-azabicyclo[3.2.1]octane-2,3,4-triol",OC1C2CCC(N2)C(O)C1O,SYOMWKCHPLIBRY-UHFFFAOYSA-N,C7H13NO3,159.18329906699546,11,3,1.0
Morus alba,LTS0190353,Q105013373,"(2r,3r,4s,5s,6r)-2-{[(2r,3r,4r,5s)-4,5-dihydroxy-2-(hydroxymethyl)piperidin-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",OCC1NCC(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,GNVIYGFSOIHFHK-CRLSIFLLSA-N,C12H23NO9,325.3128156546098,22,2,1.0
Morus alba,LTS0199406,Q105138077,"(2e)-1-{3-[(1r,5s,6r)-6-[2,4-dihydroxy-3-(3-methylbut-2-en-1-yl)benzoyl]-5-(2,4-dihydroxyphenyl)-3-methylcyclohex-2-en-1-yl]-2,4-dihydroxyphenyl}-3-(2,4-dihydroxyphenyl)prop-2-en-1-one",CC(C)=CCc1c(O)ccc(C(=O)C2C(c3c(O)ccc(C(=O)C=Cc4ccc(O)cc4O)c3O)C=C(C)CC2c2ccc(O)cc2O)c1O,KBAPHKOHTBBCTO-WBBIRTIMSA-N,C40H38O10,678.7252337925936,50,5,1.0187451350487522
Morus alba,LTS0131738,Q104968113,"2-{[4,5-dihydroxy-6-(hydroxymethyl)piperidin-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",OCC1NCC(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CQLSQWAVFSEMIE-UHFFFAOYSA-N,C12H23NO9,325.3128156546098,22,2,1.0
Morus alba,LTS0133509,Q105188810,"4-[(2s)-7-methoxy-8-(3-methylbut-2-en-1-yl)-3,4-dihydro-2h-1-benzopyran-2-yl]benzene-1,3-diol",COc1ccc2c(c1CC=C(C)C)OC(c1ccc(O)cc1O)CC2,OAUAVKGFNHNNGR-FQEVSTJZSA-N,C21H24O4,340.4136516346445,25,4,1.0
Morus alba,LTS0140781,Q27136327,cudraflavone b,CC(C)=CCc1c(-c2ccc(O)cc2O)oc2cc3c(c(O)c2c1=O)C=CC(C)(C)O3,XIWCDUHPYMOFIL-UHFFFAOYSA-N,C25H24O6,420.4554050769353,31,7,1.0
Morus alba,LTS0272222,Q104403236,"2-[(1r,5r,6s)-6-[2,4-dihydroxy-3-(3-methylbut-2-en-1-yl)benzoyl]-5-(2,4-dihydroxyphenyl)-3-methylcyclohex-2-en-1-yl]-5-[(1e)-2-(2,4-dihydroxyphenyl)ethenyl]benzene-1,3-diol",CC(C)=CCc1c(O)ccc(C(=O)C2C(c3c(O)cc(C=Cc4ccc(O)cc4O)cc3O)C=C(C)CC2c2ccc(O)cc2O)c1O,HGFWVFTZYRJFRI-LJBAAKLNSA-N,C39H38O9,650.7150929682363,48,5,1.0097630911712252
