,Beta-Sitosterol,Hyperforin,Lupeol,Oleanolic acid,Betulinic acid,Ursolic acid,Bakuchiol,Retinol,Tretinoin,Epimedin C,Rapanone,Bisabolol,Tetrahydroxystilbene glucoside,Calendulin,Honokiol,Embelin,5-O-methyl-Embelin,Tanshinone IIA,Magnolol,Imperatorin,Licochalcone A,Hexylresorcinol,3-decyl-2-5-dihydroxy-benzoquinone,alpha-Arbutin,Carnosic acid,Carnosol,Eucalyptol,Pterostilbene,Linalool,Glabridin,Tea tree oil terpinen-4-ol,Capsaicin,Menthol,Kazinol B,Schizandrin A,Resveratrol,Cryptotanshinone,Formononetin,Asiatic acid,Daidzein,Oxyresveratrol,Calycosin,Wogonin,EMB-3,4-n-butylresorcinol,Azelaic acid,Genistein,Baicalein,Apigenin,Berberine,Curcumin,Paeonol,Naringenin,Acetylshikonin,Hydroquinone,Palmatine,Biochanin A,Phloretin,Salicylic acid,2-hydroxy-naphthoquinone,Ferulic acid,Physcion,Tyrosol,Sulforaphane,Spirulina-derived phycocyanin,Asiaticoside,Madecassic acid,Caffeic acid,Shikonin,Emodin,Thujin,Quercetin,Finasteride,Withaferin A,Hydroxytyrosol,Niacinamide,Rhein,Epicatechin,Aloe-emodin,Andrographolide,Ellagic acid,Epigallocatechin,Kojic acid,4-Methoxyresorcinol,EGCG,Silymarin,Procyanidin B2,Marimastat,Avenanthramide B,Theaflavin,Salvianolic acid B,Polydatin,Byakangelicin,Mulberroside A,Liquiritin,Ascorbic acid,Allantoin from Symphytum,Allantoin,Chlorogenic acid,Baicalin,Puerarin,Arbutin,Phloridzin,Salidroside,Aloin,Geniposide,Mangiferin,Saponin Re,Ginsenoside Rg1,Ginsenoside Rg3,Madecassoside,Sennoside A,Mogroside V,Glycyrrhizin,Icariin,Saikosaponin A,Hesperidin,Acteoside (Verbascoside),Paeoniflorin,Avenanthramide A,Punicalagin,Astragaloside IV,Ginsenoside Rb1,Crocin
4-n-butylresorcinol,0.056338027,0.05479452,0.015151516,0.05882353,0.028571429,0.057142857,0.055555556,0.050847456,0.06896552,0.09090909,0.083333336,0.074074075,0.104166664,0.11764706,0.10204082,0.083333336,0.07692308,0.16981132,0.10526316,0.10526316,0.06349207,0.06521739,0.083333336,0.0,0.08196721,0.09836066,0.051282052,0.06666667,0.0,0.11111111,0.093023255,0.0625,0.023255814,0.15,0.12962963,0.07692308,0.17857143,0.13207547,0.053333335,0.1521739,0.06818182,0.125,0.15384616,0.06521739,1.0,0.029411765,0.14583333,0.17021276,0.125,0.15,0.08,0.09090909,0.1875,0.10869565,0.10714286,0.114754096,0.16666667,0.08695652,0.17142858,0.21621622,0.08163265,0.104166664,0.08108108,0.022222223,0.11764706,0.051948052,0.051948052,0.093023255,0.094339624,0.11363637,0.11363637,0.11764706,0.07692308,0.086419754,0.075,0.125,0.17391305,0.16,0.17391305,0.121212125,0.12195122,0.14285715,0.125,0.09090909,0.14035088,0.11594203,0.12698413,0.017857144,0.11594203,0.14754099,0.08,0.06666667,0.06557377,0.12307692,0.171875,0.11363637,0.06818182,0.06818182,0.07936508,0.12307692,0.12698413,0.08,0.07575758,0.074074075,0.11290322,0.072463766,0.09836066,0.032608695,0.03448276,0.032967035,0.047169812,0.10144927,0.075,0.06741573,0.069767445,0.030612245,0.1125,0.060240965,0.103896104,0.13333334,0.03521127,0.020833334,0.030612245,0.030303031
Azelaic acid,0.032258064,0.06451613,0.018181818,0.08928572,0.07017544,0.0862069,0.045454547,0.040816326,0.08510638,0.07017544,0.1388889,0.044444446,0.07692308,0.045454547,0.048780486,0.1388889,0.125,0.040816326,0.013888889,0.06122449,0.056603774,0.11764706,0.1388889,0.13636364,0.078431375,0.037037037,0.0,0.027777778,0.0625,0.01724138,0.028571429,0.14,0.03125,0.054545455,0.0,0.033333335,0.03773585,0.04255319,0.09677419,0.05,0.028571429,0.04,0.06521739,0.11764706,0.029411765,1.0,0.04761905,0.07317073,0.048780486,0.0,0.102564104,0.0882353,0.045454547,0.05263158,0.05263158,0.017857144,0.04,0.14705883,0.15384616,0.0625,0.10526316,0.05,0.074074075,0.09375,0.031746034,0.09375,0.09375,0.125,0.06818182,0.055555556,0.027027028,0.045454547,0.05357143,0.04054054,0.06666667,0.09677419,0.102564104,0.02173913,0.075,0.05,0.060606062,0.022727273,0.09677419,0.0882353,0.05882353,0.04761905,0.016949153,0.0952381,0.015384615,0.03508772,0.07692308,0.039215688,0.08,0.033333335,0.04918033,0.08571429,0.09090909,0.09090909,0.0754717,0.06896552,0.05263158,0.048780486,0.09090909,0.044444446,0.054545455,0.06779661,0.056603774,0.024390243,0.025974026,0.024691358,0.05263158,0.083333336,0.041666668,0.06329114,0.03846154,0.022727273,0.04,0.05479452,0.072463766,0.027777778,0.03816794,0.023529412,0.022727273,0.0754717
Genistein,0.06329114,0.061728396,0.013333334,0.051948052,0.025316456,0.06410257,0.13793103,0.04411765,0.04411765,0.065789476,0.10909091,0.046875,0.06896552,0.08196721,0.18867925,0.10909091,0.10169491,0.14516129,0.09411765,0.16129032,0.1875,0.20833333,0.10909091,0.0,0.08695652,0.11764706,0.020408163,0.1875,0.018867925,0.17910448,0.056603774,0.11594203,0.01923077,0.2,0.060606062,0.24390244,0.11940298,0.5,0.07317073,0.6315789,0.24444444,0.46938777,0.23214285,0.094339624,0.14583333,0.04761905,1.0,0.25490198,0.5,0.083333336,0.14545454,0.1875,0.29411766,0.42857143,0.25,0.06944445,0.22033899,0.2826087,0.1627907,0.2,0.14814815,0.21568628,0.225,0.018518519,0.25,0.071428575,0.071428575,0.16666667,0.13559322,0.26086956,0.115384616,0.46666667,0.053333335,0.07777778,0.18181819,0.10204082,0.18867925,0.19642857,0.21153846,0.077922076,0.22222222,0.18181819,0.31707317,0.11764706,0.19354838,0.2112676,0.1594203,0.03125,0.14666666,0.21538462,0.125,0.19672132,0.057142857,0.078947365,0.18309858,0.13725491,0.07692308,0.07692308,0.11594203,0.1884058,0.45454547,0.18867925,0.23076923,0.1754386,0.1641791,0.09210526,0.20634921,0.04,0.042105265,0.04040404,0.061946902,0.14864865,0.20253165,0.06122449,0.1882353,0.03773585,0.12643678,0.11494253,0.08045977,0.13253012,0.04,0.028846154,0.03773585,0.05479452
Baicalein,0.06329114,0.061728396,0.013333334,0.065789476,0.03846154,0.06410257,0.08196721,0.028985508,0.05970149,0.08,0.10909091,0.046875,0.14814815,0.08196721,0.16666667,0.10909091,0.10169491,0.092307694,0.10714286,0.18032786,0.11764706,0.13725491,0.10909091,0.022727273,0.13636364,0.15151516,0.020408163,0.11764706,0.018867925,0.112676054,0.056603774,0.13235295,0.01923077,0.18181819,0.060606062,0.13333334,0.10294118,0.18965517,0.060240965,0.21568628,0.14285715,0.2,0.5,0.094339624,0.17021276,0.07317073,0.25490198,1.0,0.5365854,0.06849315,0.14545454,0.1632653,0.2,0.27659574,0.14285715,0.08450704,0.18032786,0.18,0.25,0.2,0.16981132,0.14814815,0.13953489,0.018518519,0.23188406,0.05882353,0.05882353,0.19148937,0.13559322,0.16,0.094339624,0.32,0.053333335,0.07777778,0.18181819,0.125,0.21153846,0.1754386,0.21153846,0.077922076,0.30952382,0.18181819,0.22727273,0.11764706,0.17460318,0.16216215,0.14285715,0.04761905,0.13157895,0.1969697,0.16883117,0.10606061,0.072463766,0.078947365,0.13513513,0.13725491,0.07692308,0.07692308,0.13235295,0.5185185,0.19402985,0.10526316,0.14285715,0.11666667,0.18181819,0.06410257,0.26666668,0.04,0.042105265,0.03,0.04347826,0.16438356,0.2837838,0.072164945,0.14772727,0.028037382,0.12643678,0.11494253,0.105882354,0.18987341,0.04,0.028846154,0.03773585,0.04054054
Apigenin,0.06410257,0.0625,0.013513514,0.05263158,0.025641026,0.064935066,0.14035088,0.029411765,0.04477612,0.06666667,0.11111111,0.04761905,0.07017544,0.083333336,0.16981132,0.11111111,0.10344828,0.09375,0.10843374,0.16393442,0.1904762,0.21276596,0.11111111,0.0,0.104477614,0.13636364,0.020833334,0.19148937,0.01923077,0.18181819,0.057692308,0.11764706,0.019607844,0.22222222,0.06153846,0.25,0.104477614,0.28301886,0.06097561,0.35555556,0.25,0.29090908,0.41666666,0.09615385,0.125,0.048780486,0.5,0.5365854,1.0,0.06944445,0.14814815,0.19148937,0.3265306,0.4390244,0.2580645,0.07042254,0.24561404,0.2888889,0.16666667,0.17777778,0.1509434,0.19607843,0.2,0.018867925,0.33333334,0.05952381,0.05952381,0.17021276,0.13793103,0.23913044,0.09615385,0.47727272,0.054054055,0.06666667,0.1590909,0.104166664,0.16981132,0.22222222,0.16981132,0.064935066,0.25581396,0.18518518,0.23255815,0.12,0.17741935,0.1971831,0.17910448,0.031746034,0.16438356,0.2,0.14102565,0.18032786,0.057971016,0.08,0.16901408,0.11764706,0.078431375,0.078431375,0.11764706,0.35,0.27419356,0.16981132,0.21538462,0.15789473,0.14925373,0.064935066,0.20967741,0.04040404,0.04255319,0.030303031,0.053097345,0.13513513,0.36231884,0.06185567,0.1764706,0.028301887,0.14117648,0.10344828,0.06896552,0.13414635,0.040268455,0.029126214,0.03809524,0.04109589
Berberine,0.06521739,0.05263158,0.03448276,0.043956045,0.032608695,0.043010753,0.05263158,0.07594936,0.0625,0.055555556,0.056338027,0.065789476,0.055555556,0.06666667,0.1,0.041666668,0.08219178,0.118421055,0.20224719,0.13157895,0.125,0.10769231,0.041666668,0.01724138,0.1125,0.09756097,0.04918033,0.12698413,0.014925373,0.14814815,0.09375,0.15189873,0.046875,0.0952381,0.33333334,0.083333336,0.14102565,0.15277778,0.040816326,0.10144927,0.07692308,0.19444445,0.15277778,0.04347826,0.15,0.0,0.083333336,0.06849315,0.06944445,1.0,0.14925373,0.12698413,0.09589041,0.072463766,0.05882353,0.35820895,0.1780822,0.057971016,0.04918033,0.0625,0.15151516,0.13432837,0.05,0.014705882,0.06451613,0.04,0.04,0.060606062,0.051948052,0.09090909,0.2,0.06666667,0.056818184,0.057142857,0.06451613,0.046153847,0.06944445,0.0945946,0.08450704,0.07777778,0.078125,0.08219178,0.0625,0.07575758,0.1,0.1627907,0.08045977,0.025641026,0.07526882,0.08139535,0.06122449,0.0875,0.060240965,0.06666667,0.11363637,0.028571429,0.014492754,0.014492754,0.083333336,0.07865169,0.08045977,0.08450704,0.093023255,0.08,0.08235294,0.10227273,0.084337346,0.06306306,0.06603774,0.06363636,0.05511811,0.1,0.12371134,0.06306306,0.116504855,0.05982906,0.14285715,0.0776699,0.08,0.09090909,0.042944785,0.06140351,0.05982906,0.04597701
Curcumin,0.077922076,0.103896104,0.02739726,0.08108108,0.05263158,0.078947365,0.2264151,0.11111111,0.12903225,0.09589041,0.13207547,0.13793103,0.1509434,0.083333336,0.1923077,0.13207547,0.18518518,0.09375,0.17948718,0.18333334,0.31578946,0.1875,0.13207547,0.04761905,0.121212125,0.10294118,0.020833334,0.33333334,0.104166664,0.114285715,0.078431375,0.38181818,0.04,0.16666667,0.15,0.2820513,0.072463766,0.21428572,0.0875,0.1509434,0.25,0.26785713,0.21428572,0.11764706,0.08,0.102564104,0.14545454,0.14545454,0.14814815,0.14925373,1.0,0.30232558,0.14035088,0.15686275,0.14705883,0.15151516,0.20338982,0.20833333,0.19512194,0.1521739,0.74285716,0.22,0.14285715,0.08,0.12,0.085365854,0.085365854,0.4473684,0.22222222,0.1632653,0.21276596,0.16071428,0.09859155,0.06666667,0.21428572,0.12765957,0.16981132,0.13793103,0.16981132,0.078947365,0.14893617,0.10344828,0.17777778,0.19148937,0.140625,0.28787878,0.112676054,0.10169491,0.103896104,0.09859155,0.2027027,0.22033899,0.08955224,0.065789476,0.1369863,0.09615385,0.1,0.1,0.31034482,0.17391305,0.12857144,0.14814815,0.1969697,0.118644066,0.13235295,0.1388889,0.11940298,0.095744684,0.101123594,0.08510638,0.072072074,0.18309858,0.20512821,0.095744684,0.1904762,0.058252428,0.19753087,0.2631579,0.10714286,0.08139535,0.07638889,0.06,0.09,0.11764706
Paeonol,0.06944445,0.097222224,0.045454547,0.104477614,0.072463766,0.10144927,0.15686275,0.06666667,0.10344828,0.13846155,0.125,0.11111111,0.078431375,0.11320755,0.14285715,0.14893617,0.18367347,0.10344828,0.14666666,0.18181819,0.25454545,0.21428572,0.14893617,0.027027028,0.13333334,0.11290322,0.023809524,0.35135135,0.06818182,0.14285715,0.08888889,0.25,0.045454547,0.20338982,0.125,0.22222222,0.07936508,0.31914893,0.0945946,0.17021276,0.225,0.25,0.24,0.10869565,0.09090909,0.0882353,0.1875,0.1632653,0.19148937,0.12698413,0.30232558,1.0,0.18,0.20454545,0.22222222,0.12903225,0.3265306,0.2682927,0.2647059,0.175,0.30952382,0.34146342,0.16666667,0.04347826,0.13043478,0.09210526,0.09210526,0.225,0.1764706,0.21428572,0.18604651,0.18,0.07462686,0.05882353,0.18421052,0.14634146,0.19148937,0.15384616,0.16666667,0.055555556,0.17073171,0.13725491,0.175,0.2195122,0.1754386,0.1969697,0.12307692,0.07272727,0.112676054,0.125,0.15277778,0.15789473,0.08064516,0.071428575,0.16666667,0.08510638,0.08888889,0.08888889,0.18644068,0.13636364,0.140625,0.19148937,0.19672132,0.13207547,0.12698413,0.11764706,0.11290322,0.054347824,0.057471264,0.054945055,0.07619048,0.14705883,0.1891892,0.08988764,0.20512821,0.05102041,0.18181819,0.15384616,0.101265825,0.0875,0.056737587,0.030927835,0.05102041,0.09375
Naringenin,0.102564104,0.086419754,0.04,0.077922076,0.050632913,0.08974359,0.13333334,0.042857144,0.057971016,0.10666667,0.10526316,0.078125,0.06666667,0.13333334,0.14035088,0.10526316,0.09836066,0.12307692,0.15853658,0.13846155,0.1641791,0.2,0.10526316,0.0,0.11594203,0.18181819,0.06122449,0.18,0.018181818,0.24615385,0.074074075,0.112676054,0.057692308,0.5686275,0.14285715,0.23255815,0.13235295,0.18333334,0.084337346,0.23076923,0.23404256,0.19354838,0.18333334,0.09090909,0.1875,0.045454547,0.29411766,0.2,0.3265306,0.09589041,0.14035088,0.18,1.0,0.24,0.23529412,0.097222224,0.3962264,0.27083334,0.15555556,0.19148937,0.14285715,0.23076923,0.18604651,0.017857144,0.3809524,0.08235294,0.08235294,0.16,0.15,0.27659574,0.11111111,0.25925925,0.08,0.11235955,0.14893617,0.09803922,0.2037037,0.38,0.2037037,0.08974359,0.1875,0.34,0.19148937,0.11320755,0.31034482,0.33333334,0.3015873,0.030303031,0.2753623,0.30645162,0.17948718,0.1904762,0.10144927,0.13513513,0.40983605,0.15384616,0.094339624,0.094339624,0.14492753,0.15068494,0.20588236,0.18181819,0.2238806,0.16949153,0.19402985,0.08974359,0.14705883,0.04950495,0.052083332,0.05,0.07017544,0.17567568,0.15476191,0.08163265,0.11956522,0.056603774,0.3888889,0.11235955,0.09090909,0.15662651,0.053333335,0.03809524,0.046728972,0.067567565
Acetylshikonin,0.06666667,0.078947365,0.04347826,0.06944445,0.05479452,0.08219178,0.12727273,0.06349207,0.08064516,0.05479452,0.14,0.10526316,0.054545455,0.12727273,0.11320755,0.14,0.12962963,0.13559322,0.09876543,0.1724138,0.16129032,0.2,0.14,0.025,0.109375,0.14285715,0.045454547,0.1521739,0.08695652,0.15384616,0.10638298,0.12307692,0.04255319,0.17460318,0.08196721,0.175,0.14516129,0.25,0.07692308,0.26086956,0.20930232,0.25925925,0.25,0.14893617,0.10869565,0.05263158,0.42857143,0.27659574,0.4390244,0.072463766,0.15686275,0.20454545,0.24,1.0,0.16129032,0.073529415,0.23636363,0.22222222,0.15,0.1627907,0.16,0.3181818,0.125,0.040816326,0.19117647,0.075,0.075,0.15555556,0.14545454,0.31707317,0.125,0.47619048,0.071428575,0.09411765,0.14285715,0.08695652,0.15686275,0.18867925,0.15686275,0.08219178,0.275,0.19607843,0.25,0.1521739,0.18644068,0.1884058,0.15151516,0.050847456,0.1388889,0.22950819,0.116883114,0.13114753,0.060606062,0.09859155,0.12676056,0.125,0.083333336,0.083333336,0.10606061,0.18181819,0.20634921,0.11320755,0.16923077,0.10526316,0.13846155,0.097222224,0.2631579,0.06382979,0.055555556,0.06451613,0.074074075,0.125,0.21333334,0.08695652,0.16867469,0.04950495,0.13253012,0.12048193,0.071428575,0.1392405,0.048275862,0.04040404,0.06,0.073529415
Hydroquinone,0.071428575,0.050847456,0.019607844,0.055555556,0.017857144,0.05357143,0.23529412,0.044444446,0.044444446,0.0754717,0.121212125,0.075,0.11764706,0.07692308,0.14705883,0.121212125,0.10810811,0.06818182,0.078125,0.09090909,0.18181819,0.25925925,0.121212125,0.0,0.08510638,0.083333336,0.0,0.32,0.03448276,0.14583333,0.10344828,0.104166664,0.035714287,0.17391305,0.045454547,0.42105263,0.0625,0.18421052,0.04918033,0.26666668,0.28,0.17073171,0.125,0.09677419,0.10714286,0.05263158,0.25,0.14285715,0.2580645,0.05882353,0.14705883,0.22222222,0.23529412,0.16129032,1.0,0.06,0.14285715,0.2962963,0.23809524,0.2,0.15151516,0.15151516,0.47058824,0.0,0.1509434,0.04761905,0.04761905,0.18518518,0.13157895,0.1724138,0.0625,0.16666667,0.03773585,0.042857144,0.2173913,0.15384616,0.14705883,0.16216215,0.14705883,0.03508772,0.14814815,0.1388889,0.15384616,0.13793103,0.11111111,0.10714286,0.12,0.024390243,0.10714286,0.1,0.08196721,0.19512194,0.06382979,0.054545455,0.13207547,0.09677419,0.06666667,0.06666667,0.104166664,0.094339624,0.16666667,0.2580645,0.16666667,0.22857143,0.10204082,0.05357143,0.083333336,0.025641026,0.02739726,0.025974026,0.032258064,0.08928572,0.092307694,0.038961038,0.06944445,0.023809524,0.0882353,0.073529415,0.060606062,0.060606062,0.023255814,0.0121951215,0.023809524,0.01923077
Palmatine,0.054347824,0.042105265,0.022988506,0.044444446,0.02173913,0.054945055,0.053333335,0.06329114,0.05,0.08045977,0.057142857,0.05263158,0.056338027,0.053333335,0.08571429,0.04225352,0.083333336,0.12,0.17777778,0.103896104,0.12658228,0.092307694,0.04225352,0.01754386,0.07317073,0.072289154,0.05,0.12903225,0.015151516,0.13580246,0.06153846,0.15384616,0.03125,0.09638554,0.31746033,0.084745765,0.12820514,0.12328767,0.052083332,0.071428575,0.078125,0.16438356,0.15492958,0.04411765,0.114754096,0.017857144,0.06944445,0.08450704,0.07042254,0.35820895,0.15151516,0.12903225,0.097222224,0.073529415,0.06,1.0,0.16438356,0.07462686,0.05,0.046875,0.15384616,0.10294118,0.050847456,0.030303031,0.06521739,0.05102041,0.05102041,0.06153846,0.05263158,0.05970149,0.18333334,0.067567565,0.045454547,0.04761905,0.06557377,0.06349207,0.055555556,0.11111111,0.055555556,0.054945055,0.0625,0.09859155,0.06349207,0.060606062,0.101265825,0.15116279,0.10714286,0.012820513,0.1,0.08235294,0.06185567,0.075,0.035714287,0.06741573,0.08988764,0.028985508,0.014705882,0.014705882,0.084337346,0.07954545,0.056818184,0.07042254,0.09411765,0.06666667,0.058139537,0.07865169,0.072289154,0.07339449,0.06666667,0.06422018,0.055555556,0.07692308,0.125,0.07339449,0.11764706,0.060344826,0.14432989,0.067961164,0.07,0.05940594,0.049689442,0.04347826,0.069565214,0.03448276
Biochanin A,0.08235294,0.093023255,0.05,0.09876543,0.05952381,0.1097561,0.104477614,0.053333335,0.067567565,0.12658228,0.13114753,0.08695652,0.060606062,0.13846155,0.14516129,0.13114753,0.17741935,0.14492753,0.1882353,0.1594203,0.18309858,0.17857143,0.13114753,0.01923077,0.12162162,0.15068494,0.074074075,0.25,0.033333335,0.22535211,0.084745765,0.16438356,0.07017544,0.2647059,0.2,0.18,0.18571429,0.30508474,0.10344828,0.16666667,0.20754717,0.23076923,0.24193548,0.1,0.16666667,0.04,0.22033899,0.18032786,0.24561404,0.1780822,0.20338982,0.3265306,0.3962264,0.23636363,0.14285715,0.16438356,1.0,0.21818182,0.13725491,0.16981132,0.20689656,0.34615386,0.11764706,0.032786883,0.30985916,0.101123594,0.101123594,0.14285715,0.1904762,0.26923078,0.17857143,0.21311475,0.0875,0.09375,0.13207547,0.0877193,0.18333334,0.29310346,0.18333334,0.1375,0.16666667,0.25862068,0.16981132,0.12068965,0.26153848,0.38235295,0.23943663,0.057142857,0.22077923,0.24285714,0.16666667,0.17391305,0.093333334,0.1392405,0.26027396,0.118644066,0.084745765,0.084745765,0.16438356,0.15384616,0.15789473,0.18333334,0.20547946,0.13636364,0.1780822,0.12345679,0.13513513,0.06666667,0.07,0.067307696,0.094017096,0.17721519,0.21176471,0.12,0.21111111,0.07272727,0.27710843,0.14130434,0.10869565,0.1590909,0.058064517,0.06481481,0.06306306,0.07594936
Phloretin,0.08219178,0.08,0.028985508,0.08571429,0.055555556,0.09859155,0.17307693,0.06451613,0.08196721,0.08571429,0.14285715,0.06896552,0.1632653,0.07017544,0.20833333,0.14285715,0.15384616,0.08196721,0.086419754,0.13559322,0.20338982,0.29268292,0.14285715,0.025641026,0.11111111,0.092307694,0.0,0.23809524,0.04255319,0.15625,0.0625,0.22033899,0.021276595,0.19672132,0.048387095,0.2777778,0.060606062,0.18518518,0.10666667,0.21276596,0.275,0.1754386,0.14285715,0.12765957,0.08695652,0.14705883,0.2826087,0.18,0.2888889,0.057971016,0.20833333,0.2682927,0.27083334,0.22222222,0.2962963,0.07462686,0.21818182,1.0,0.21621622,0.16666667,0.1875,0.21276596,0.41935483,0.041666668,0.19402985,0.103896104,0.103896104,0.21428572,0.14814815,0.23255815,0.08163265,0.22,0.057142857,0.057471264,0.30555555,0.16666667,0.18367347,0.1923077,0.20833333,0.054054055,0.1627907,0.1764706,0.19512194,0.15555556,0.18965517,0.17391305,0.15384616,0.07017544,0.15714286,0.15625,0.16438356,0.19298245,0.078125,0.05479452,0.14492753,0.104166664,0.08510638,0.08510638,0.16129032,0.13235295,0.1904762,0.18367347,0.53061223,0.26530612,0.15873016,0.083333336,0.12698413,0.03125,0.032967035,0.031578947,0.07476635,0.14285715,0.125,0.06451613,0.11627907,0.029411765,0.12048193,0.17948718,0.085365854,0.085365854,0.06338028,0.02,0.029411765,0.07462686
Salicylic acid,0.060606062,0.07462686,0.016393442,0.09836066,0.06349207,0.0952381,0.10638298,0.036363635,0.09615385,0.13559322,0.11904762,0.06,0.17073171,0.083333336,0.13953489,0.11904762,0.10869565,0.09615385,0.08219178,0.115384616,0.16981132,0.15789473,0.11904762,0.0,0.12962963,0.0877193,0.0,0.13157895,0.025641026,0.10169491,0.07692308,0.16666667,0.02631579,0.12280702,0.037037037,0.15625,0.07017544,0.12244898,0.0882353,0.14285715,0.16666667,0.13725491,0.22222222,0.1,0.17142858,0.15384616,0.1627907,0.25,0.16666667,0.04918033,0.19512194,0.2647059,0.15555556,0.15,0.23809524,0.05,0.13725491,0.21621622,1.0,0.29032257,0.23076923,0.14285715,0.16666667,0.025,0.12698413,0.08571429,0.08571429,0.27272728,0.1521739,0.15789473,0.07317073,0.15555556,0.06557377,0.06410257,0.1875,0.21212122,0.3243243,0.1521739,0.225,0.06153846,0.17142858,0.13333334,0.1764706,0.19444445,0.15384616,0.125,0.118644066,0.06122449,0.10769231,0.12068965,0.15151516,0.09259259,0.13207547,0.0625,0.09375,0.12820514,0.10526316,0.10526316,0.16666667,0.1724138,0.13793103,0.11363637,0.13793103,0.104166664,0.16363636,0.078125,0.12727273,0.022727273,0.024096385,0.034883723,0.04950495,0.18333334,0.0945946,0.084337346,0.0875,0.021276595,0.09090909,0.10666667,0.12676056,0.09589041,0.03649635,0.010869565,0.021276595,0.05
2-hydroxy-naphthoquinone,0.057142857,0.08571429,0.015384615,0.05970149,0.028985508,0.057971016,0.09803922,0.033898305,0.05172414,0.07575758,0.1590909,0.055555556,0.10638298,0.09803922,0.1521739,0.1590909,0.14583333,0.12962963,0.077922076,0.12727273,0.118644066,0.14285715,0.1590909,0.0,0.10169491,0.118644066,0.0,0.11904762,0.023255814,0.13114753,0.0952381,0.11666667,0.023809524,0.15254237,0.05263158,0.1388889,0.12068965,0.15686275,0.054054055,0.18181819,0.15,0.16981132,0.18,0.11627907,0.21621622,0.0625,0.2,0.2,0.17777778,0.0625,0.1521739,0.175,0.19148937,0.1627907,0.2,0.046875,0.16981132,0.16666667,0.29032257,1.0,0.15555556,0.20930232,0.14705883,0.022727273,0.171875,0.05263158,0.05263158,0.17948718,0.23913044,0.23076923,0.2972973,0.16666667,0.06153846,0.0875,0.16666667,0.15789473,0.39473686,0.14,0.39473686,0.073529415,0.18421052,0.12244898,0.1891892,0.14634146,0.14285715,0.15151516,0.11111111,0.037037037,0.10144927,0.13114753,0.11111111,0.0862069,0.06666667,0.09090909,0.121212125,0.14285715,0.0952381,0.0952381,0.13559322,0.125,0.16666667,0.104166664,0.11111111,0.09615385,0.25925925,0.057971016,0.13793103,0.02173913,0.022988506,0.021978023,0.03773585,0.171875,0.103896104,0.056179777,0.09638554,0.020408163,0.11392405,0.0875,0.10526316,0.13513513,0.035460994,0.010416667,0.020408163,0.03076923
Ferulic acid,0.064935066,0.09090909,0.027777778,0.097222224,0.067567565,0.0945946,0.20754717,0.0952381,0.16949153,0.112676054,0.11320755,0.12068965,0.15384616,0.084745765,0.17307693,0.11320755,0.16666667,0.0952381,0.18181819,0.16666667,0.32142857,0.16666667,0.11320755,0.023809524,0.15873016,0.104477614,0.021276595,0.34146342,0.083333336,0.11594203,0.08,0.3392857,0.040816326,0.15151516,0.15254237,0.28947368,0.073529415,0.21818182,0.088607594,0.15384616,0.25581396,0.27272728,0.24074075,0.09803922,0.08163265,0.10526316,0.14814815,0.16981132,0.1509434,0.15151516,0.74285716,0.30952382,0.14285715,0.16,0.15151516,0.15384616,0.20689656,0.1875,0.23076923,0.15555556,1.0,0.2244898,0.11904762,0.06,0.12162162,0.086419754,0.086419754,0.6363636,0.2037037,0.16666667,0.2173913,0.16363636,0.06944445,0.055555556,0.1904762,0.13043478,0.19607843,0.14035088,0.1509434,0.065789476,0.1521739,0.10526316,0.15555556,0.17021276,0.14285715,0.27272728,0.114285715,0.06666667,0.10526316,0.1,0.20547946,0.18333334,0.125,0.06666667,0.10810811,0.07692308,0.08,0.08,0.3392857,0.1764706,0.114285715,0.10909091,0.1641791,0.10169491,0.11764706,0.10958904,0.104477614,0.08510638,0.08988764,0.07446808,0.06306306,0.16901408,0.17721519,0.10869565,0.16470589,0.048543688,0.17073171,0.25,0.10843374,0.08235294,0.062068965,0.05,0.08,0.10294118
Physcion,0.051282052,0.07692308,0.04225352,0.08219178,0.053333335,0.08,0.10344828,0.06153846,0.078125,0.097222224,0.15686275,0.083333336,0.05263158,0.14285715,0.12962963,0.15686275,0.21153846,0.16949153,0.12345679,0.16666667,0.19354838,0.16666667,0.15686275,0.023809524,0.10606061,0.121212125,0.04347826,0.34146342,0.083333336,0.14925373,0.10204082,0.171875,0.040816326,0.16923077,0.13333334,0.225,0.15873016,0.28846154,0.075,0.1764706,0.22727273,0.25,0.21818182,0.16666667,0.104166664,0.05,0.21568628,0.14814815,0.19607843,0.13432837,0.22,0.34146342,0.23076923,0.3181818,0.15151516,0.10294118,0.34615386,0.21276596,0.14285715,0.20930232,0.2244898,1.0,0.11904762,0.039215688,0.16901408,0.07317073,0.07317073,0.14893617,0.18181819,0.5135135,0.24444444,0.18518518,0.08450704,0.07954545,0.13636364,0.083333336,0.29787233,0.14035088,0.29787233,0.065789476,0.17777778,0.14545454,0.18181819,0.17021276,0.18032786,0.23529412,0.114285715,0.04918033,0.10526316,0.14925373,0.11392405,0.16393442,0.07462686,0.08108108,0.15492958,0.09803922,0.08,0.08,0.13636364,0.11111111,0.14705883,0.12962963,0.1641791,0.10169491,0.16923077,0.0945946,0.121212125,0.05154639,0.043010753,0.052083332,0.07272727,0.16901408,0.17721519,0.09677419,0.16470589,0.06930693,0.2,0.13095239,0.069767445,0.12195122,0.04761905,0.029411765,0.048543688,0.071428575
